Header,Data
2024/01 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Sul	Rio Grande Do Sul	2024/20	14,441
Sul	Santa Catarina	2024/20	20,189"
2024/21 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/21	2,758
Centro-Oeste	Goias	2024/21	9,012
Centro-Oeste	Mato Grosso	2024/21	1,441
Centro-Oeste	Mato Grosso Do Sul	2024/21	499
Nordeste	Alagoas	2024/21	545
Nordeste	Bahia	2024/21	5,750
Nordeste	Ceara	2024/21	402
Nordeste	Maranhao	2024/21	222
Nordeste	Paraiba	2024/21	300
Nordeste	Pernambuco	2024/21	859
Nordeste	Piaui	2024/21	620
Nordeste	Rio Grande Do Norte	2024/21	336
Nordeste	Sergipe	2024/21	45
Norte	Acre	2024/21	34
Norte	Amapa	2024/21	158
Norte	Amazonas	2024/21	79
Norte	Para	2024/21	352
Norte	Rondonia	2024/21	31
Norte	Roraima	2024/21	35
Norte	Tocantins	2024/21	147
Sudeste	Espirito Santo	2024/21	3,238
Sudeste	Minas Gerais	2024/21	25,954
Sudeste	Rio De Janeiro	2024/21	4,962
Sudeste	Sao Paulo	2024/21	108,654
Sul	Parana	2024/21	21,148
Sul	Rio Grande Do Sul	2024/21	4,222
Sul	Santa Catarina	2024/21	9,981"
2024/22 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/22	1,955
Centro-Oeste	Goias	2024/22	6,211
Centro-Oeste	Mato Grosso	2024/22	822
Centro-Oeste	Mato Grosso Do Sul	2024/22	276
Nordeste	Alagoas	2024/22	557
Nordeste	Bahia	2024/22	3,825
Nordeste	Ceara	2024/22	342
Nordeste	Maranhao	2024/22	143
Nordeste	Paraiba	2024/22	224
Nordeste	Pernambuco	2024/22	826
Nordeste	Piaui	2024/22	496
Nordeste	Rio Grande Do Norte	2024/22	257
Nordeste	Sergipe	2024/22	52
Norte	Acre	2024/22	38
Norte	Amapa	2024/22	165
Norte	Amazonas	2024/22	59
Norte	Para	2024/22	271
Norte	Rondonia	2024/22	27
Norte	Roraima	2024/22	33
Norte	Tocantins	2024/22	119
Sudeste	Espirito Santo	2024/22	2,179
Sudeste	Minas Gerais	2024/22	15,144
Sudeste	Rio De Janeiro	2024/22	2,918
Sudeste	Sao Paulo	2024/22	68,753
Sul	Parana	2024/22	12,256
Sul	Rio Grande Do Sul	2024/22	3,652
Sul	Santa Catarina	2024/22	6,206"
2024/23 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/23	1,339
Centro-Oeste	Goias	2024/23	5,237
Centro-Oeste	Mato Grosso	2024/23	1,004
Centro-Oeste	Mato Grosso Do Sul	2024/23	235
Nordeste	Alagoas	2024/23	595
Nordeste	Bahia	2024/23	2,931
Nordeste	Ceara	2024/23	356
Nordeste	Maranhao	2024/23	113
Nordeste	Paraiba	2024/23	242
Nordeste	Pernambuco	2024/23	866
Nordeste	Piaui	2024/23	532
Nordeste	Rio Grande Do Norte	2024/23	233
Nordeste	Sergipe	2024/23	69
Norte	Acre	2024/23	21
Norte	Amapa	2024/23	203
Norte	Amazonas	2024/23	56
Norte	Para	2024/23	337
Norte	Rondonia	2024/23	32
Norte	Roraima	2024/23	37
Norte	Tocantins	2024/23	70
Sudeste	Espirito Santo	2024/23	1,722
Sudeste	Minas Gerais	2024/23	10,381
Sudeste	Rio De Janeiro	2024/23	2,594
Sudeste	Sao Paulo	2024/23	44,472
Sul	Parana	2024/23	7,648
Sul	Rio Grande Do Sul	2024/23	2,220
Sul	Santa Catarina	2024/23	4,466"
2024/24 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/24	851
Centro-Oeste	Goias	2024/24	4,414
